time	V(n003)	V(n005)	I(I1)
4.934116809954801e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934117081833934e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934117217773501e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934117399026257e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934117761531768e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934117772860065e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934117795516660e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934117801180808e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934117802596846e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934117805428920e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934117811093068e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934117812509106e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934117815341180e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934117821005328e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934117832333625e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934117854990220e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934117871982666e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934117894639260e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934117939952449e-002	1.515335e+000	4.996514e+000	2.499732e-004
4.934117951280746e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934117973937341e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934118019250530e-002	1.515335e+000	4.996514e+000	2.499732e-004
4.934118109876907e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934118291129663e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934119378646197e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934120828668242e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934121281800131e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934128803789489e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934128894415867e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934128962385651e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934129234264784e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934131771803363e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934134671847452e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934135396858475e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934136846880520e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934145728265545e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934146090771056e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934146124755948e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934146170069137e-002	1.515335e+000	4.996514e+000	2.499732e-004
4.934146181397434e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934146204054029e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934146249367218e-002	1.515335e+000	4.996514e+000	2.499732e-004
